TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with
CHGN,396,UNDERGRADUATE RESEARCH,,1,1,1,0,
CHGN,398,SPECIAL TOPICS IN CHEMISTRY,,1,1,0,0,
CHGN,399,INDEPENDENT STUDY,,1,1,0,0,
CHGN,401,INORGANIC CHEMISTRY II, 3.0,1,0,0,0,
CHGN,403,INTRODUCTION TO ENVIRONMENTAL CHEMISTRY, 3.0,,,,,CHGC505
CHGN,406,INTRODUCTION TO GEOCHEMISTRY, 3.0,1,0,0,0,
CHGN,409,BIOLOGICAL INORGANIC CHEMISTRY, 3.0,,,,,
CHGN,410,SURFACE CHEMISTRY, 3.0,,,,,MLGN510
CHGN,411,APPLIED RADIOCHEMISTRY, 3.0,1,0,0,0,
CHGN,422,POLYMER CHEMISTRY LABORATORY, 1.0,1,0,0,0,
CHGN,428,BIOCHEMISTRY, 3.0,1,0,0,0,
CHGN,429,BIOCHEMISTRY II, 3.0,,,,,
CHGN,430,INTRODUCTION TO POLYMER SCIENCE, 3.0,,,,,MLGN530
CHGN,431,INTRODUCTORY BIOCHEMISTRY LABORATORY, 2.0,,,,,
CHGN,441,THE CHEMISTRY AND BIOCHEMISTRY OF PHARMACEUTICALS, 3.0,,,,,
CHGN,445,CHEMICAL BIOLOGY, 3.0,,,,,
CHGN,462,MICROBIOLOGY, 3.0,,,,,CHGN562
CHGN,475,COMPUTATIONAL CHEMISTRY, 3.0,1,0,0,0,
CHGN,490,CHEMISTRY FIELD SESSION, 6.0,0,0,1,0,
CHGN,495,UNDERGRADUATE RESEARCH,,,,,,
CHGN,497,INTERNSHIP,,,,,,
CHGN,498,SPECIAL TOPICS IN CHEMISTRY,,1,1,0,0,
CHGN,499,INDEPENDENT STUDY,,1,1,0,0,
CSCI,101,INTRODUCTION TO COMPUTER SCIENCE, 3.0,,,,,
CSCI,102,INTRODUCTION TO COMPUTER SCIENCE - LAB, 1.0,,,,,
CSCI,198,SPECIAL TOPICS,,1,1,0,0,
CSCI,199,INDEPENDENT STUDY,,1,1,0,0,
CSCI,200,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN, 3.0,,,,,
CSCI,220,DATA STRUCTURES AND ALGORITHMS, 3.0,,,,,
CSCI,250,PYTHON-BASED COMPUTING: BUILDING A SENSOR SYSTEM, 3.0,,,,,
CSCI,260,FORTRAN PROGRAMMING, 2.0,1,0,0,0,
CSCI,261,PROGRAMMING CONCEPTS, 3.0,,,,,
CSCI,262,DATA STRUCTURES, 3.0,,,,,
CSCI,274,INTRODUCTION TO THE LINUX OPERATING SYSTEM, 1.0,1,1,0,0,
CSCI,290,PROGRAMMING CHALLENGES I, 1.0,,,,,
CSCI,295,INDUSTRY EXPLORATION I, 1.0,,,,,
CSCI,298,SPECIAL TOPICS,,1,1,0,0,
CSCI,299,INDEPENDENT STUDY,,1,1,0,0,
CSCI,303,INTRODUCTION TO DATA SCIENCE, 3.0,,,,,
CSCI,306,SOFTWARE ENGINEERING, 3.0,1,1,0,0,
CSCI,340,COOPERATIVE EDUCATION, 3.0,,,,,
CSCI,341,COMPUTER ORGANIZATION, 3.0,1,1,0,0,
CSCI,358,DISCRETE MATHEMATICS, 3.0,1,1,0,0,
CSCI,370,ADVANCED SOFTWARE ENGINEERING, 4.5,1,0,1,0,
CSCI,390,PROGRAMMING CHALLENGES II, 1.0,,,,,
CSCI,395,INDUSTRY EXPLORATION II, 1.0,,,,,
CSCI,398,SPECIAL TOPICS,,1,1,0,0,
CSCI,399,INDEPENDENT STUDY,,1,1,0,0,
CSCI,400,PRINCIPLES OF PROGRAMMING LANGUAGES, 3.0,,,,,
CSCI,403,DATA BASE MANAGEMENT, 3.0,1,1,0,0,
CSCI,404,ARTIFICIAL INTELLIGENCE, 3.0,1,0,0,0,
CSCI,406,ALGORITHMS, 3.0,,,,,MATH406
CSCI,410,ELEMENTS OF COMPUTING SYSTEMS, 3.0,1,1,0,0,
CSCI,422,USER INTERFACES, 3.0,1,0,0,0,
CSCI,423,COMPUTER SIMULATION, 3.0,,,,,
CSCI,425,COMPILER DESIGN, 3.0,,,,,
CSCI,432,ROBOT ETHICS, 3.0,1,0,0,0,
CSCI,436,HUMAN-ROBOT INTERACTION, 3.0,,,,,
CSCI,437,INTRODUCTION TO COMPUTER VISION, 3.0,,,,,CSCI512&EENG507&EENG512
CSCI,440,PARALLEL COMPUTING FOR SCIENTISTS AND ENGINEERS, 3.0,,,,,MATH440
CSCI,441,COMPUTER GRAPHICS, 3.0,,,,,MATH441
CSCI,442,OPERATING SYSTEMS, 3.0,1,1,0,0,
CSCI,443,ADVANCED PROGRAMMING CONCEPTS USING JAVA, 3.0,1,1,0,0,
CSCI,444,ADVANCED COMPUTER GRAPHICS, 3.0,,,,,MATH444
CSCI,445,WEB PROGRAMMING, 3.0,,,,,
CSCI,446,WEB APPLICATIONS, 3.0,1,0,0,0,
CSCI,448,MOBILE APPLICATION DEVELOPMENT, 3.0,1,0,0,0,
CSCI,455,GAME THEORY AND NETWORKS, 3.0,,,,,CSCI555
CSCI,470,INTRODUCTION TO MACHINE LEARNING, 3.0,1,0,0,0,
CSCI,471,COMPUTER NETWORKS I, 3.0,1,0,0,0,
CSCI,473,HUMAN-CENTERED ROBOTICS, 3.0,,,,,CSCI573
CSCI,474,INTRODUCTION TO CRYPTOGRAPHY, 3.0,,,,,MATH474
CSCI,475,INFORMATION SECURITY AND PRIVACY, 3.0,1,0,0,0,
CSCI,477,ELEMENTS OF GAMES AND GAME DEVELOPMENT, 3.0,,,,,
CSCI,478,INTRODUCTION TO BIOINFORMATICS, 3.0,,,,,
CSCI,480,COMPUTER SCIENCE HONORS THESIS, 3.0,1,1,0,0,
CSCI,490,PROGRAMMING CHALLENGES III, 1.0,,,,,
CSCI,498,SPECIAL TOPICS,,1,1,0,0,
CSCI,499,INDEPENDENT STUDY,,1,1,0,0,
EBGN,198,SPECIAL TOPICS IN ECONOMICS AND BUSINESS,,1,1,0,0,
EBGN,199,INDEPENDENT STUDY,,1,1,0,0,
EBGN,201,PRINCIPLES OF ECONOMICS, 3.0,1,1,1,0,
EBGN,230,INTRODUCTION TO BUSINESS, 3.0,,,,,
EBGN,298,SPECIAL TOPICS IN ECONOMICS AND BUSINESS,,1,1,0,0,
EBGN,299,INDEPENDENT STUDY,,1,1,0,0,
EBGN,301,INTERMEDIATE MICROECONOMICS, 3.0,,,,,EBGN411
EBGN,302,INTERMEDIATE MACROECONOMICS, 3.0,,,,,EBGN412
EBGN,303,ECONOMETRICS, 3.0,,,,,EBGN390
EBGN,304,PERSONAL FINANCE, 3.0,,,,,
EBGN,305,FINANCIAL ACCOUNTING, 3.0,,,,,
EBGN,306,MANAGERIAL ACCOUNTING, 3.0,,,,,
EBGN,307,BUSINESS COMMUNICATIONS, 3.0,,,,,
EBGN,308,PRINCIPLES OF MARKETING, 3.0,,,,,
EBGN,310,ENVIRONMENTAL AND RESOURCE ECONOMICS, 3.0,1,0,0,0,
EBGN,315,THE ECONOMICS OF STRATEGY, 3.0,,,,,
EBGN,320,ECONOMICS AND TECHNOLOGY, 3.0,1,0,0,0,
EBGN,321,ENGINEERING ECONOMICS, 3.0,,,,,CHEN421
EBGN,330,ENERGY ECONOMICS, 3.0,,,,,ENGY330
EBGN,340,ENERGY AND ENVIRONMENTAL POLICY, 3.0,,,,,
EBGN,345,PRINCIPLES OF CORPORATE FINANCE, 3.0,1,0,0,0,
EBGN,346,INTRODUCTION TO INVESTMENTS, 3.0,,,,,
EBGN,360,INTRODUCTION TO ENTREPRENEURSHIP, 3.0,,,,,
EBGN,398,SPECIAL TOPICS IN ECONOMICS AND BUSINESS,,1,1,0,0,
EBGN,399,INDEPENDENT STUDY,,1,1,0,0,
EBGN,401,ADVANCED TOPICS IN ECONOMICS, 3.0,1,0,0,0,
EBGN,403,FIELD SESSION, 3.0,,,,,EBGN402
EBGN,409,MATHEMATICAL ECONOMICS, 3.0,,,,,
EBGN,425,BUSINESS ANALYTICS, 3.0,,,,,
EBGN,430,ADVANCED ENERGY ECONOMICS, 3.0,1,0,0,0,
EBGN,434,PROPERTY RIGHTS AND NATURAL RESOURCES, 3.0,,,,,
EBGN,435,ECONOMICS OF WATER RESOURCES, 3.0,,,,,
EBGN,437,REGIONAL ECONOMICS, 3.0,1,0,0,0,
EBGN,441,INTERNATIONAL ECONOMICS, 3.0,,,,,
EBGN,443,PUBLIC ECONOMICS, 3.0,,,,,
EBGN,444,INNOVATE X, 3.0,,,,,
EBGN,453,PROJECT MANAGEMENT, 3.0,,,,,
EBGN,455,LINEAR PROGRAMMING, 3.0,,,,,
EBGN,459,SUPPLY CHAIN MANAGEMENT, 3.0,,,,,
EBGN,460,BUSINESS MODEL DEVELOPMENT, 3.0,1,0,0,0,
EBGN,461,STOCHASTIC MODELS IN MANAGEMENT SCIENCE, 3.0,,,,,
EBGN,470,ENVIRONMENTAL ECONOMICS, 3.0,1,0,0,0,
EBGN,474,"INVENTING, PATENTING AND LICENSING", 3.0,0,0,1,0,
EBGN,485,BUSINESS STRATEGY, 3.0,,,,,
EBGN,495,ECONOMIC FORECASTING, 3.0,,,,,
EBGN,496,PAYNE SCHOLARS PROGRAM, 1.0,,,,,
EBGN,498,SPECIAL TOPICS IN ECONOMICS AND BUSINESS,,1,1,0,0,
EBGN,499,INDEPENDENT STUDY,,1,1,0,0,
EDNS,151,DESIGN I, 3.0,,,,,EPIC151
EDNS,155,DESIGN I: GRAPHICS, 1.0,,,,,EPIC155
EDNS,156,AUTOCAD BASICS, 1.0,1,1,0,0,
EDNS,157,SOLIDWORKS BASICS (FOR CERTIFICATION), 1.0,1,1,0,0,
EDNS,191,INTRODUCTION TO INTEGRATIVE DESIGN, 3.0,,,,,
EDNS,192,DESIGN AND HUMAN VALUES, 4.0,,,,,
EDNS,198,SPECIAL TOPCS,,1,1,0,0,
EDNS,199,INDEPENDENT STUDY,,1,1,0,0,
EDNS,199,INDEPENDENT STUDY,,1,1,0,0,
EDNS,200,DESIGN COMMUNICATIONS, 3.0,1,1,0,0,
EDNS,205,PROGRAMMING CONCEPTS AND ENGINEERING ANALYSIS, 3.0,1,1,0,0,
EDNS,251,DESIGN II, 3.0,,,,,EPIC251
EDNS,261,DESIGN II: GIS, 3.0,,,,,EPIC261
EDNS,262,DESIGN II: AUTOCAD, 3.0,,,,,EPIC262
EDNS,263,DESIGN II: MATERIALS, 3.0,,,,,EPIC271
EDNS,264,DESIGN II: GEOLOGY GIS, 3.0,,,,,EPIC264
EDNS,269,DESIGN II: ENGINEERING PHYSICS, 3.0,,,,,EPIC269
